id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_number,city,road,neighbourhood,residential,nearby_attractions,quarter_sale,sales_price,profit
1200021,2014-08-11,400000.0,3,1.0,1460,43000,1.0,0,0,3,7,1460,0,1952,0,98166,47.4434,-122.347,2250,20023,1006,Normandy Park,Southwest 178th Street,,,,1,440000.00000000006,40000.0
2800031,2015-04-01,235000.0,3,1.0,1430,7599,1.5,0,0,4,6,1010,420,1930,0,98168,47.4783,-122.265,1290,10320,13921,Tukwila,56th Avenue South,,,,1,258500.00000000003,23500.0
3600057,2015-03-19,402500.0,4,2.0,1650,3504,1.0,0,0,3,7,760,890,1951,2013,98144,47.5803,-122.294,1480,3504,2522,Seattle,30th Avenue South,,,,1,442750.00000000006,40250.0
3800008,2015-02-24,178000.0,5,1.5,1990,18200,1.0,0,0,3,7,1990,0,1960,0,98178,47.4938,-122.262,1860,8658,5590,Seattle,South Langston Road,,,,1,231400.0,53400.0
7200179,2015-04-24,175000.0,2,1.0,840,12750,1.0,0,0,3,6,840,0,1925,0,98055,47.484,-122.211,1480,6969,406,Renton,South Tobin Street,,,,1,227500.0,52500.0
7400062,2014-05-21,299800.0,2,1.0,790,5240,1.0,0,0,4,6,790,0,1925,0,98118,47.5303,-122.288,1430,5320,8016,Seattle,Beacon Avenue South,,,,1,389740.0,89940.0
7600057,2014-08-05,520000.0,3,2.0,1410,2700,2.0,0,0,4,7,1410,0,1902,0,98122,47.6029,-122.302,1750,4000,158,Seattle,23rd Avenue,,,,1,572000.0,52000.0
7600065,2014-06-05,465000.0,3,2.25,1530,1245,2.0,0,0,3,9,1050,480,2014,0,98122,47.6018,-122.297,1530,2307,2716,Seattle,East Yesler Way,,,,1,604500.0,139500.0
7600136,2014-07-18,411000.0,2,2.0,1130,1148,2.0,0,0,3,9,800,330,2007,0,98122,47.6023,-122.314,1350,1201,164,Seattle,14th Avenue,Little Saigon,Maison Jiselle,,1,534300.0,123300.0
9000025,2014-12-03,496000.0,2,1.0,1420,4635,2.0,0,0,4,7,1420,0,1941,1973,98115,47.68,-122.304,1810,4635,7023,Seattle,Ravenna Avenue Northeast,Ravenna,,,1,545600.0,49600.0
11200290,2014-06-09,546000.0,3,2.5,1530,3464,2.0,0,0,3,8,1530,0,1998,0,98007,47.6179,-122.141,1530,3446,15004,Bellevue,Northeast 8th Place,,Kelsey Creek,,1,600600.0,54600.0
11900140,2014-05-09,254000.0,3,2.5,1850,4597,2.0,0,0,3,8,1850,0,2003,0,98042,47.3755,-122.136,2210,5000,15407,Covington,Southeast 252nd Place,Crofton Hills,,,1,330200.0,76200.0
13001215,2015-03-05,130000.0,3,1.0,1100,5100,1.0,0,0,4,7,1100,0,1913,0,98108,47.5231,-122.332,1450,5100,8853,Seattle,2nd Avenue South,South Park,,,1,169000.0,39000.0
13001795,2014-10-14,319500.0,4,2.75,2500,5100,1.5,0,0,4,7,1420,1080,1907,0,98108,47.523,-122.332,1430,5100,154,Seattle,South Henderson Street,South Park,,,1,351450.0,31950.0
13001991,2014-09-02,207000.0,3,2.5,1520,2550,2.0,0,0,3,7,1520,0,2005,0,98108,47.5245,-122.33,1460,2550,8805,Seattle,4th Avenue South,South Park,,,1,269100.0,62100.0
13002460,2015-03-18,205000.0,2,1.75,1740,5100,1.0,0,0,3,6,580,1160,1915,0,98108,47.5211,-122.33,1440,5100,9059,Seattle,4th Avenue South,South Park,,,1,266500.0,61500.0
13002495,2014-07-07,295000.0,3,1.5,1640,7222,2.0,0,0,4,7,1640,0,1908,0,98108,47.5215,-122.33,1240,5100,9047,Seattle,4th Avenue South,South Park,,,4,383500.0,88500.0
16000015,2015-04-17,219950.0,3,1.5,1070,6601,1.0,0,0,3,6,1070,0,1985,0,98002,47.3115,-122.209,1030,6614,317,Auburn,R Street Northeast,,,,1,241945.00000000003,21995.0
16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,19,Auburn,Pike Street Northeast,,,,1,245700.0,56700.0
16000435,2015-03-16,218500.0,2,1.0,1600,8961,1.0,0,0,4,7,1390,210,1949,0,98002,47.3098,-122.21,1502,6798,127,Auburn,Pike Street Northeast,,,,1,240350.00000000003,21850.0
23500180,2014-05-05,570000.0,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,1975,0,98052,47.6912,-122.115,2080,8260,17001,Redmond,Northeast 104th Street,Education Hill,,Horace Mann Elementary School,1,627000.0,57000.0
23500190,2014-10-08,515000.0,4,2.25,2470,7800,1.0,0,0,3,8,1470,1000,1975,0,98052,47.6913,-122.115,2050,8050,10204,Redmond,168th Place Northeast,Education Hill,,,2,669500.0,154500.0
23500220,2014-10-15,550120.0,5,2.5,2620,8050,1.0,0,0,3,8,1520,1100,1975,0,98052,47.6919,-122.115,2030,7676,10224,Redmond,168th Place Northeast,Education Hill,,,1,605132.0,55012.0
23520190,2015-03-16,490000.0,3,1.75,1470,9750,1.0,0,0,4,7,1470,0,1978,0,98052,47.6975,-122.12,1800,9600,10841,Redmond,165th Place Northeast,,,,1,637000.0,147000.0
23520380,2014-09-09,539000.0,3,1.75,1790,9860,1.0,0,0,4,7,1410,380,1978,0,98052,47.6989,-122.12,1820,9555,16505,Redmond,Northeast 111th Street,,,,1,592900.0,53900.0
34000005,2014-06-18,343566.0,2,1.0,1100,4200,1.0,0,0,3,7,1100,0,1954,0,98136,47.5312,-122.392,1240,4000,8005,Seattle,46th Avenue Southwest,Fauntleroy,,,1,446635.8,103069.8
34001304,2015-04-10,480000.0,5,2.25,2240,5500,1.0,0,0,3,7,1490,750,1959,0,98136,47.5305,-122.391,2010,6050,4517,Seattle,Southwest Hemlock Way,,,,1,528000.0,48000.0
40000228,2014-10-15,221900.0,2,1.0,780,6727,1.0,0,0,3,6,780,0,1939,0,98168,47.4733,-122.281,1860,10124,14426,Tukwila,42nd Avenue South,,,,1,244090.00000000003,22190.0
